date,station,lat,lon,elevation,temp_avg,temp_max,temp_min,pressure,humidity
2024-01-01,兰州,36.06,103.83,1517.2,6.9,12.6,1.4,841.0,40.2
2024-01-02,兰州,36.06,103.83,1517.2,5.2,10.6,-0.1,836.8,35.8
2024-01-03,兰州,36.06,103.83,1517.2,7.8,13.4,2.4,842.3,41.2
2024-01-04,兰州,36.06,103.83,1517.2,10.7,14.9,5.9,841.2,10.2
2024-01-05,兰州,36.06,103.83,1517.2,5.7,11.1,0.2,840.9,50.3
2024-01-06,兰州,36.06,103.83,1517.2,5.9,12.1,0.1,842.4,32.7
2024-01-07,兰州,36.06,103.83,1517.2,11.6,19.2,5.1,843.8,42.8
2024-01-08,兰州,36.06,103.83,1517.2,9.4,16.3,3.2,842.5,25.9
2024-01-09,兰州,36.06,103.83,1517.2,5.9,14.6,-1.1,836.9,39.3
2024-01-10,兰州,36.06,103.83,1517.2,9.2,13.5,4.3,838.0,26.2
2024-01-11,兰州,36.06,103.83,1517.2,6.4,13.2,0.3,839.4,29.8
2024-01-12,兰州,36.06,103.83,1517.2,6.6,12.4,1.0,840.8,50.4
2024-01-13,兰州,36.06,103.83,1517.2,9.0,17.8,1.9,841.8,33.8
2024-01-14,兰州,36.06,103.83,1517.2,2.8,7.0,-2.1,839.4,37.3
2024-01-15,兰州,36.06,103.83,1517.2,3.6,7.8,-1.3,841.3,42.7
2024-01-16,兰州,36.06,103.83,1517.2,7.3,11.9,2.3,839.5,40.0
2024-01-17,兰州,36.06,103.83,1517.2,6.2,8.5,2.3,839.9,37.5
2024-01-18,兰州,36.06,103.83,1517.2,10.4,15.2,5.3,838.3,39.4
2024-01-19,兰州,36.06,103.83,1517.2,7.0,11.4,2.0,839.4,56.0
2024-01-20,兰州,36.06,103.83,1517.2,5.7,11.5,0.1,838.6,36.6
2024-01-21,兰州,36.06,103.83,1517.2,14.6,20.7,8.8,839.5,38.9
2024-01-22,兰州,36.06,103.83,1517.2,9.8,18.1,2.8,843.6,46.0
2024-01-23,兰州,36.06,103.83,1517.2,10.9,17.9,4.6,839.7,46.7
2024-01-24,兰州,36.06,103.83,1517.2,6.6,11.4,1.5,847.0,47.6
2024-01-25,兰州,36.06,103.83,1517.2,9.5,13.8,4.6,842.8,43.5
2024-01-26,兰州,36.06,103.83,1517.2,11.7,18.1,5.8,842.3,29.5
2024-01-27,兰州,36.06,103.83,1517.2,8.2,11.8,3.6,840.3,52.0
2024-01-28,兰州,36.06,103.83,1517.2,13.0,21.3,6.0,843.5,30.1
2024-01-29,兰州,36.06,103.83,1517.2,10.3,17.7,3.8,841.0,42.0
2024-01-30,兰州,36.06,103.83,1517.2,11.5,16.4,6.2,842.5,33.8
2024-01-31,兰州,36.06,103.83,1517.2,10.8,13.8,6.4,847.5,39.6
2024-02-01,兰州,36.06,103.83,1517.2,18.4,26.0,11.7,842.3,43.1
2024-02-02,兰州,36.06,103.83,1517.2,13.0,18.5,7.4,844.9,43.3
2024-02-03,兰州,36.06,103.83,1517.2,10.1,17.6,3.5,841.4,44.4
2024-02-04,兰州,36.06,103.83,1517.2,16.0,19.2,11.5,842.8,54.3
2024-02-05,兰州,36.06,103.83,1517.2,10.1,14.8,4.8,846.5,45.3
2024-02-06,兰州,36.06,103.83,1517.2,14.6,20.3,8.9,841.9,40.0
2024-02-07,兰州,36.06,103.83,1517.2,8.3,14.1,2.6,846.9,50.0
2024-02-08,兰州,36.06,103.83,1517.2,10.4,15.4,5.1,844.8,52.1
2024-02-09,兰州,36.06,103.83,1517.2,15.2,21.8,9.0,842.4,33.1
2024-02-10,兰州,36.06,103.83,1517.2,17.1,21.2,12.1,844.9,48.0
2024-02-11,兰州,36.06,103.83,1517.2,15.6,21.1,10.0,845.7,49.2
2024-02-12,兰州,36.06,103.83,1517.2,14.9,20.8,9.1,845.2,41.5
2024-02-13,兰州,36.06,103.83,1517.2,14.6,21.1,8.5,840.9,55.2
2024-02-14,兰州,36.06,103.83,1517.2,11.3,18.1,5.0,842.7,43.4
2024-02-15,兰州,36.06,103.83,1517.2,13.8,17.8,8.8,843.8,45.9
2024-02-16,兰州,36.06,103.83,1517.2,14.7,18.2,10.1,844.3,43.8
2024-02-17,兰州,36.06,103.83,1517.2,19.5,27.2,12.8,845.9,45.7
2024-02-18,兰州,36.06,103.83,1517.2,17.6,23.8,11.5,845.1,37.1
2024-02-19,兰州,36.06,103.83,1517.2,11.4,16.1,6.2,842.2,34.7
2024-02-20,兰州,36.06,103.83,1517.2,17.9,26.0,11.0,845.8,59.3
2024-02-21,兰州,36.06,103.83,1517.2,16.0,21.9,10.1,846.4,40.1
2024-02-22,兰州,36.06,103.83,1517.2,15.3,22.9,8.6,846.5,39.3
2024-02-23,兰州,36.06,103.83,1517.2,19.4,25.3,13.5,847.7,30.4
2024-02-24,兰州,36.06,103.83,1517.2,20.8,29.7,13.4,847.3,42.8
2024-02-25,兰州,36.06,103.83,1517.2,20.7,29.1,13.6,846.7,37.7
2024-02-26,兰州,36.06,103.83,1517.2,15.6,21.0,9.9,845.8,61.8
2024-02-27,兰州,36.06,103.83,1517.2,17.3,24.6,10.8,842.8,57.0
2024-02-28,兰州,36.06,103.83,1517.2,19.4,26.2,13.1,847.2,43.8
2024-02-29,兰州,36.06,103.83,1517.2,21.5,29.4,14.7,846.9,67.7
2024-03-01,兰州,36.06,103.83,1517.2,17.4,21.8,12.2,847.2,57.9
