date,temp_avg,temp_max,temp_min
2024-01-01,-2.5,4.6,-8.6
2024-01-02,-4.5,-0.1,-8.8
2024-01-03,-2.6,4.0,-9.0
2024-01-04,-1.0,3.0,-7.9
2024-01-05,-1.8,3.5,-9.0
2024-01-06,0.1,4.9,-7.0
2024-01-07,0.6,8.1,-5.7
2024-01-08,-1.7,6.1,-8.9
2024-01-09,2.5,8.2,-2.0
2024-01-10,1.7,8.5,-4.6
2024-01-11,-0.6,5.3,-6.4
2024-01-12,-0.5,6.1,-5.1
2024-01-13,-0.3,4.9,-4.8
2024-01-14,-2.5,1.8,-8.7
2024-01-15,-3.6,0.6,-9.2
2024-01-16,-6.6,-0.2,-11.8
2024-01-17,-4.8,3.5,-11.0
2024-01-18,-6.6,-0.3,-14.4
2024-01-19,-7.5,-2.0,-12.8
2024-01-20,-11.2,-3.3,-16.3
2024-01-21,-7.3,-1.0,-12.9
2024-01-22,-10.2,-4.1,-17.1
2024-01-23,-11.4,-5.1,-17.6
2024-01-24,-7.9,-2.1,-14.5
2024-01-25,-11.0,-5.3,-17.3
2024-01-26,-12.8,-8.2,-17.5
2024-01-27,-10.7,-4.2,-15.2
2024-01-28,-12.8,-6.9,-18.1
2024-01-29,-6.9,0.3,-12.3
2024-01-30,-8.0,-2.4,-13.3
2024-01-31,-7.3,-3.2,-13.3
